condition,test_order,fam_object,sex,age_md,F1,F2,F3,F4, F5,F6,New-goal_1,Old-goal_1,New-goal_2,Old-goal_2
Two-object,New-goal first,Pyramid,M,"4,9",30,30,7.2,7.6,10.6,13.3,14.8,9.5,23.3,10.2
Two-object,New-goal first,Pumpkin,M,"2,29",30,30,15.1,30,21.5,30,60,42.8,60,35.4
Two-object,New-goal first,Pumpkin,M,"2,21",30,29.9,30,30,30,30,29.8,6.6,,
Two-object,New-goal first,Pyramid,F,"3,20",18.6,30,30,6.5,6,3.4,5.9,5.1,5.2,14.3
Two-object,New-goal first,Pyramid,F,"3,8",30,6.2,30,30,30,30,60,60,14.9,24.1
Two-object,New-goal first,Pyramid,F,"2,25",30,13.3,15.2,3.1,12.3,5.3,30.8,7.6,13.8,7
Two-object,New-goal first,Pumpkin,F,"3,18",30,30,30,30,30,30,60,60,60,58.5
Two-object,New-goal first,Pumpkin,F,"3,21",30,3,2.8,3.4,17.9,6.9,8,5,7.9,5.1
Two-object,Old-goal first,Pyramid,M,"2,29",30,4.2,19.8,30,30,19.6,30,29.1,6.8,18.2
Two-object,Old-goal first,Pyramid,M,"3,6",13.2,30,30,30,30,30,60,60,41.3,60
Two-object,Old-goal first,Pyramid,M,"3,22",28.7,15.9,16.7,30,30,14.3,60,29.2,60,60
Two-object,Old-goal first,Pumpkin,M,"3,23",30,30,30,30,24.6,30,60,28.6,,
Two-object,Old-goal first,Pumpkin,M,"3,18",30,17.6,30,22.7,11.2,30,12.8,34.7,7.7,5.7
Two-object,Old-goal first,Pyramid,F,"3,18",10.1,14.6,2.3,2.7,2.9,4.8,5.7,5.3,9.9,5.6
Two-object,Old-goal first,Pumpkin,F,"3,12",5.1,3.5,2.5,5.3,2.7,2.8,7.7,6.6,5.5,7.5
Two-object,Old-goal first,Pumpkin,F,"2,17",30,30,28.8,30,16.1,30,60,60,60,30.6
One-object,New-goal first,Pyramid,M,"3,28",10.6,30,30,16.2,30,14.6,25.4,60,28.4,11
One-object,New-goal first,Pyramid,M,"2,23",3,2.5,3.6,12.9,2.7,2.5,9.5,29.7,20.9,9.1
One-object,New-goal first,Pyramid,M,"3,5",20.7,5.9,26.6,30,30,3.7,60,15,16.1,8.1
One-object,New-goal first,Pyramid,M,"3,26",20.3,30,30,10.4,6.8,10.2,9.7,20.3,44.8,23
One-object,New-goal first,Pumpkin,F,"2,15",26.7,4.6,2.6,2,5.6,13.5,5.4,6,9.9,6.4
One-object,New-goal first,Pumpkin,F,"3,20",30,30,30,30,30,3.4,6.9,12,7.6,5.4
One-object,New-goal first,Pumpkin,F,"2,29",30,14.4,3.6,4.2,5.3,3.7,5.7,18.6,11.1,6.1
One-object,New-goal first,Pyramid,F,"4,6",2.6,5.4,6.2,3.5,14.8,13.1,10.8,7,5.1,6.2
One-object,Old-goal first,Pumpkin,M,"2,24",10.4,5.9,30,30,30,30,20.1,60,36.3,5.3
One-object,Old-goal first,Pumpkin,M,"3,27",30,30,10.6,30,19,30,55.9,60,12.4,14.5
One-object,Old-goal first,Pyramid,M,"4,2",30,15.4,18.8,2.8,2.5,4.5,23.2,43.1,7.5,11.1
One-object,Old-goal first,Pyramid,M,"3,1",16.5,19.1,30,18.4,30,4.3,10.7,19.7,13,5
One-object,Old-goal first,Pumpkin,F,"3,20",14.8,14.2,5.2,5.1,4.3,6.4,13.6,8.2,16,5.6
One-object,Old-goal first,Pumpkin,F,"3,1",11.9,10.6,9.7,30,8.3,2,10.7,60,5.2,6.3
One-object,Old-goal first,Pyramid,F,"2,15",30,30,28.4,30,6.3,2.2,12.5,17.3,,
One-object,Old-goal first,Pyramid,F,"3,1",6.6,3.1,30,7.2,30,10.3,21.6,14.2,60,10.7
Hidden,New-goal first,Pumpkin,M,"2,25",30,10.8,7.3,14.1,15.8,30,14,60,10.2,9.9
Hidden,New-goal first,Pumpkin,M,"3,1",16.4,23.3,30,30,30,30,60,56,15.4,11.5
Hidden,New-goal first,Pumpkin,M,"2,19",30,19.8,21.8,19.3,21.3,18.7,51.5,60,9.2,60
Hidden,New-goal first,Pumpkin,F,"2,15",11.8,2.1,2.6,30,30,30,60,60,60,56.2
Hidden,New-goal first,Pumpkin,F,"3,28",15.1,8.9,4.2,8.9,3,3.8,11.2,5.3,6.8,8.5
Hidden,New-goal first,Pumpkin,F,"2,24",30,30,30,30,30,2.8,42.7,16.4,10.1,7.6
Hidden,New-goal first,Pumpkin,F,"3,22",30,30,30,30,3.7,22.4,10.9,10.9,,
Hidden,New-goal first,Pumpkin,F,"3,26",10.3,20.3,5.4,11.7,12.1,11.6,24.5,7.9,16.3,14.1
Hidden,Old-goal first,Pumpkin,M,"2,26",30,30,8.1,2.6,22.7,8.6,9.7,8.3,10.8,8.3
Hidden,Old-goal first,Pumpkin,M,"2,15",9.6,2.3,3.1,2.4,30,30,21.6,6.6,,
Hidden,Old-goal first,Pumpkin,M,"4,0",24.7,20.4,4.4,2.8,2.6,6.5,16.6,14.1,18.7,16.9
Hidden,Old-goal first,Pumpkin,M,"3,4",18.1,30,30,30,30,9.7,60,60,19.5,24
Hidden,Old-goal first,Pumpkin,F,"3,19",30,30,6.5,13.9,8.8,22.4,17.1,60,8.3,5.8
Hidden,Old-goal first,Pumpkin,F,"3,4",30,30,30,30,4.1,3,24.1,7.7,5.2,60
Hidden,Old-goal first,Pumpkin,F,"3,29",30,30,26.4,30,30,24,43.4,21.9,20.4,41.5
Hidden,Old-goal first,Pumpkin,F,"3,19",30,30,26.6,27.1,2.8,30,8.7,20.9,6.4,5
