Participant,Condition,Yoking,Sex,Age_m,Object_Right,Habituation_Goal,Reach_Type,First_Test_Trial,Hab1,Hab2,Hab3,First3Hab,EndHab1,EndHab2,EndHab3,Last3Hab,Number Hab Trials,Habituated or No,Familiarization Trial,OldGoal_1,NewGoal_1,OldGoal_2,NewGoal_2,OldGoal_3,NewGoal_3,OldGoal_Total,NewGoal_Total,OldGoal_Avg,NewGoal_Avg,Action_Task_Length
32,Act,1,f,3.5,ball,bear,far,new,4.87,3.08,2.27,10.22,7.5,2.88,0.62,11,14,no,4.41,0.09,8.44,6.42,0.98,1.92,6.67,8.43,16.09,2.81,5.36,6.51
67,Act,2,m,3.23,ball,bear,far,new,2.12,3.32,18.59,24.03,4.23,5.25,2.47,11.95,6,yes,2.75,0.31,2.49,6.92,7.18,10.44,3.04,17.67,12.71,5.89,4.24,6.21
69,Act,3,m,3.93,ball,ball,near,new,0.95,5.72,6.68,13.35,3.97,2.25,1.44,7.66,14,no,0.88,7.04,52.69,3.29,0.32,3.12,2.82,13.45,55.83,4.48,18.61,7.01
72,Act,4,f,3.43,bear,bear,near,old,7.57,1.9,3.44,12.91,2.36,1.92,2.1,6.38,8,yes,8.82,5.29,1.31,1.75,0.38,4.92,4.77,11.96,6.46,3.99,2.15,6.47
76,Act,5,f,3.83,ball,bear,far,old,9.81,3.2,9.23,22.24,5.38,2.58,2.22,10.18,12,yes,6.49,3.26,9.44,1.31,3.91,,,4.57,13.35,2.29,6.68,6.1
77,Act,6,f,3.47,ball,bear,far,new,5.53,7.39,11.26,24.18,9.84,7.83,6.43,24.1,14,no,0.65,2.44,11.89,14.24,37.87,1,0.78,17.68,50.54,5.89,16.85,6.19
78,Act,7,m,3.17,bear,bear,near,new,1.63,1.25,1.96,4.84,1.64,1.75,1.39,4.78,14,no,1.85,3.67,4.5,,,,,3.67,4.5,3.67,4.5,6.13
79,Act,8,m,3.5,bear,ball,far,old,10.61,110.26,1.07,121.94,0.78,25.76,32.27,58.81,6,yes,0.94,3.92,15.3,13.22,3.72,2.32,4.83,19.46,23.85,6.49,7.95,6.07
81,Act,9,m,3.83,ball,bear,far,old,4.6,10.4,10.09,25.09,3.83,6,6.35,16.18,14,no,11.59,5.42,12.54,,,,,5.42,12.54,5.42,12.54,8.08
86,Act,10,f,4.13,bear,bear,near,new,17.64,6.06,9.68,33.38,1.46,1.66,3.38,6.5,6,yes,2.38,1.52,3.42,5.35,1.66,2.02,2.71,10.25,6.74,3.42,2.25,7.79
88,Act,11,f,3.73,bear,ball,far,new,38.46,9.1,2.85,50.41,1.67,1.08,1.71,4.46,6,yes,20.34,3.49,2.4,0.8,1.78,1.62,1.67,5.91,5.85,1.97,1.95,6.26
91,Act,12,m,3.93,bear,bear,near,new,30.95,6.1,4.12,41.17,0.93,1.77,0.7,3.4,6,yes,14.25,20.66,19.27,1.68,11.91,4.89,12.15,27.23,43.33,9.08,14.44,6.4
92,Act,13,f,3.43,bear,ball,far,old,1.17,17.58,1.09,19.84,0.58,5.43,1.63,7.64,6,yes,1.96,8.78,6.78,4.09,15.29,1.3,9.58,14.17,31.65,4.72,10.55,6.03
94,Act,14,f,3.47,bear,ball,near,old,19.55,37.52,23.1,80.17,1.2,5.43,3.32,9.95,6,yes,2.15,7.01,21.81,8.22,2.41,2.87,5.49,18.1,29.71,6.03,9.9,6.04
95,Act,15,m,3.67,ball,ball,near,new,60.09,16.39,19.58,96.06,11.93,3.29,3.43,18.65,6,yes,7.28,5.5,23.34,0.52,7.24,3.31,0.02,9.33,30.6,3.11,10.2,6.04
102,Act,16,m,3,bear,bear,near,old,9.22,4.38,2.09,15.69,0.61,0.63,0.83,2.07,6,yes,13.5,5.5,1.12,0.42,3.33,,,5.92,4.45,2.96,2.23,6.05
144,Act,17,f,3.1,ball,ball,near,new,0.7,1.79,23.93,26.42,15.4,9.34,6.47,31.21,14,no,25.25,2.11,46.24,6.68,21.99,7.3,16.5,8.79,68.23,4.4,34.12,6.05
143,Act,18,m,3.97,ball,ball,near,new,5.71,0.83,1.92,8.46,10.75,11.49,8.15,30.39,14,no,24.73,13.27,3.38,,,,,13.27,3.38,13.27,3.38,6.14
