Participant,Condition,Yoking,Sex,Age,Object_Right,Habituation_Goal,Reach_Type,First_Test_Trial,Hab1,Hab2,Hab3,First3Hab,EndHab1,EndHab2,EndHab3,Last3Hab,Number_Hab_Trials,Habituated_or_No,Familiarization_Trial,OldGoal_1,NewGoal_1,OldGoal_2,NewGoal_2,OldGoal_3,NewGoal_3,OldGoal_Total,NewGoal_Total,OldGoal_Avg,NewGoal_Avg,,,,
70,Active,23,Female,3.10,Ball,Ball,Near,new,5.43,23.04,50.64,79.11,22.23,3.9,7.76,33.89,8,Yes,1.7,3.8,2.15,20.74,4.81,2.77,2.11,27.31,9.07,9.1,3.02,,,,
73,Active,16,Female,3.50,Bear,Ball,Far,new,24.25,6.07,3.57,33.89,2.03,9.55,2.62,14.2,13,Yes,4.12,9.72,19.15,,,,,9.72,19.15,9.72,19.15,,,,
75,Active,7,Female,3.87,Bear,Ball,Far,old,80.4,16.25,6.48,103.13,5.98,10.9,3.32,20.2,6,Yes,10.45,7.95,6.08,6.82,12.87,1.73,6.32,16.5,25.27,5.5,8.42,,,,
82,Active,12,Female,3.23,Ball,Bear,Far,new,4.45,9.78,4.75,18.98,11.2,44.4,15.33,70.93,14,No,32.58,1.1,1.18,1.02,11.68,4,3.23,6.12,16.09,2.04,5.36,,,,
84,Active,17,Female,3.50,Ball,Ball,Near,new,44.87,43.5,3.38,91.75,11.27,8.9,3.23,23.4,6,Yes,94.6,85.55,35.57,18.85,61.22,,,104.4,96.79,52.2,48.4,,,,
88,Active,4,Female,3.77,Ball,Bear,Far,old,15.3,9.27,49.08,73.65,13.82,10.22,8.73,32.77,8,Yes,13.23,15.32,4.02,9.45,12.73,3.03,3.15,27.8,19.9,9.27,6.63,,,,
89,Active,22,Female,3.90,Ball,Ball,Near,old,9.21,4.76,2.38,16.35,4.95,0.67,1.67,7.29,12,Yes,5.62,2.28,9.77,1.96,0.69,2.22,8.58,6.46,19.04,2.15,6.35,,,,
93,Active,9,Male,3.47,Ball,Ball,Near,old,7.03,5.53,24.97,37.53,3.21,4.52,5.83,13.56,7,Yes,7.22,15.3,5.07,,,,,15.3,5.07,15.3,5.07,,,,
94,Active,1,Male,3.33,Bear,Bear,Near,old,14.98,7.62,10.05,32.65,3.3,2.02,2.05,7.37,9,Yes,1.25,22.65,19.83,4.22,13.18,3.05,3.77,29.92,36.78,9.97,12.26,,,,
98,Active,14,Male,3.33,Ball,Bear,Far,new,30.65,13.65,7.57,51.87,10.45,3.38,9.12,22.95,6,Yes,9.68,7.43,12.8,1.47,22.85,,,8.9,35.65,4.45,17.83,,,,
