Relabeled.Script,Script,Subject.ID,Sex,Age.Month,Age.Day,Age.Decimal,Preferred.Object,PO.Starting.Location,PO.Test.Side,PO.Test.Order,Video.Quality,Device,LT,Type,TrialPair,Trial.N
1a,3,p31,F,3,6,3.2,Ball,R,L,1,5,Laptop,1.27,Different_Location,Pair 1,1
8a,7,p24,F,3,9,3.3,Bear,R,L,1,4,Laptop,1.51,Different_Location,Pair 1,1
7b,3,p35,F,3,18,3.6,Ball,R,L,1,5,Laptop,3.21,Different_Location,Pair 1,1
5b,2,p34,M,3,22,3.733333333,Ball,L,R,2,5,Laptop,4.71,Different_Location,Pair 1,2
8c,2,p42,M,3,0,3,Ball,L,R,2,5,Laptop,115.63,Different_Location,Pair 1,2
1c,4,p47,M,3,0,3,Ball,R,L,2,5,Laptop,18.13,Different_Location,Pair 1,2
4c,8,p41,M,3,7,3.233333333,Bear,R,L,2,5,Laptop,4.78,Different_Location,Pair 1,2
5a,4,p27,M,3,7,3.233333333,Ball,R,L,2,3,Laptop,,Different_Location,Pair 1,2
2a,2,p26,M,3,28,3.933333333,Ball,L,R,2,5,Laptop with monitor,4.58,Different_Location,Pair 1,2
6a,1,p28,F,3,5,3.166666667,Ball,L,R,1,5,Laptop,10.66,Different_Location,Pair 1,1
7a,6,p32,M,3,23,3.766666667,Bear,L,R,2,5,Laptop,10.28,Different_Location,Pair 1,2
4b,5,p33,M,3,4,3.133333333,Bear,L,R,1,5,Laptop,18.05,Different_Location,Pair 1,1
3a,8,p25,M,4,0,4,Bear,R,L,2,5,Laptop,1.36,Different_Location,Pair 1,2
3b,1,p38,M,3,20,3.666666667,Ball,L,R,1,4,Laptop,11.3,Different_Location,Pair 1,1
2b,8,p30,F,3,24,3.8,Bear,R,L,2,5,Laptop,3.04,Different_Location,Pair 1,2
7c,1,p43,M,3,5,3.166666667,Ball,L,R,1,5,Laptop,13.4,Different_Location,Pair 1,1
5c,7,p44,F,3,30,4,Bear,R,L,1,4,Laptop,41.67,Different_Location,Pair 1,1
6b,7,p39,M,3,8,3.266666667,Bear,R,L,1,5,Laptop,16.8,Different_Location,Pair 1,1
2c,6,p40,F,3,6,3.2,Bear,L,R,2,4.5,Laptop,21.66,Different_Location,Pair 1,2
8b,6,p37,M,3,5,3.166666667,Bear,L,R,2,5,Laptop,6.49,Different_Location,Pair 1,2
6c,3,p46,M,3,18,3.6,Ball,R,L,1,4,Laptop,2.71,Different_Location,Pair 1,1
