Script,Subject.ID,Sex,Age.Month,Age.Day,Age.Decimal,Preferred.Location..L.R.,Test.PL.Object,PL.Starting.Object,PL.Test.Order,Video.Quality,Device,LT,Type,TrialPair,Trial.N
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,Laptop,7.86,Different_Object,Pair 1,2
2b,p67,M,3,25,3.833333333,R,Teddy,Ball,1,3,Laptop,7.88,Different_Object,Pair 1,1
3b,p70,M,3,2,3.066666667,R,Ball,Teddy,2,5,Tablet,4.66,Different_Object,Pair 1,2
4b,p72,M,3,1,3.033333333,L,Ball,Teddy,2,5,Laptop,24.57,Different_Object,Pair 1,2
5b,p73,F,3,29,3.966666667,L,Ball,Teddy,1,5,Laptop,3.91,Different_Object,Pair 1,1
6b,p66,F,3,8,3.266666667,R,Teddy,Ball,2,5,Laptop,3.66,Different_Object,Pair 1,2
7b,p71,M,3,23,3.766666667,L,Teddy,Ball,1,5,Laptop,23.71,Different_Object,Pair 1,1
8b,p68,F,3,20,3.666666667,R,Ball,Teddy,1,5,Laptop,14.33,Different_Object,Pair 1,1
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,Laptop,5.43,Different_Object,Pair 1,1
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,Laptop,5.87,Different_Object,Pair 1,1
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,Laptop,3.68,Different_Object,Pair 1,2
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,Laptop,16.82,Different_Object,Pair 1,2
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,Laptop,1.08,Different_Object,Pair 1,2
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,Laptop,1.47,Different_Object,Pair 1,1
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,Laptop,4.62,Different_Object,Pair 1,1
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,Laptop,3.04,Different_Object,Pair 1,2
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,Laptop,4.81,Different_Object,Pair 1,2
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,Laptop,8.88,Different_Object,Pair 1,2
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,Laptop,5.64,Different_Object,Pair 1,2
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,Laptop,3.75,Different_Object,Pair 1,1
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,Laptop,5.87,Different_Object,Pair 1,2
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,Laptop,6.47,Different_Object,Pair 1,1
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,Laptop,8.85,Different_Object,Pair 1,1
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,Laptop,1.01,Different_Object,Pair 1,1
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,Laptop,4.8,Different_Object,Pair 2,4
2b,p67,M,3,25,3.833333333,R,Teddy,Ball,1,3,Laptop,5.11,Different_Object,Pair 2,3
3b,p70,M,3,2,3.066666667,R,Ball,Teddy,2,5,Tablet,31.41,Different_Object,Pair 2,4
4b,p72,M,3,1,3.033333333,L,Ball,Teddy,2,5,Laptop,13.49,Different_Object,Pair 2,4
5b,p73,F,3,29,3.966666667,L,Ball,Teddy,1,5,Laptop,3.97,Different_Object,Pair 2,3
6b,p66,F,3,8,3.266666667,R,Teddy,Ball,2,5,Laptop,17.85,Different_Object,Pair 2,4
7b,p71,M,3,23,3.766666667,L,Teddy,Ball,1,5,Laptop,15.56,Different_Object,Pair 2,3
8b,p68,F,3,20,3.666666667,R,Ball,Teddy,1,5,Laptop,8.82,Different_Object,Pair 2,3
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,Laptop,5.82,Different_Object,Pair 2,3
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,Laptop,3.25,Different_Object,Pair 2,3
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,Laptop,13,Different_Object,Pair 2,4
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,Laptop,,Different_Object,Pair 2,4
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,Laptop,4.08,Different_Object,Pair 2,4
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,Laptop,6.76,Different_Object,Pair 2,3
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,Laptop,3.63,Different_Object,Pair 2,3
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,Laptop,6.44,Different_Object,Pair 2,4
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,Laptop,2.6,Different_Object,Pair 2,4
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,Laptop,15.6,Different_Object,Pair 2,4
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,Laptop,9.12,Different_Object,Pair 2,4
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,Laptop,2.31,Different_Object,Pair 2,3
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,Laptop,3.18,Different_Object,Pair 2,4
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,Laptop,4.31,Different_Object,Pair 2,3
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,Laptop,1.13,Different_Object,Pair 2,3
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,Laptop,4.45,Different_Object,Pair 2,3
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,Laptop,,Different_Object,Pair 3,6
2b,p67,M,3,25,3.833333333,R,Teddy,Ball,1,3,Laptop,2.53,Different_Object,Pair 3,5
3b,p70,M,3,2,3.066666667,R,Ball,Teddy,2,5,Tablet,4.05,Different_Object,Pair 3,6
4b,p72,M,3,1,3.033333333,L,Ball,Teddy,2,5,Laptop,,Different_Object,Pair 3,6
5b,p73,F,3,29,3.966666667,L,Ball,Teddy,1,5,Laptop,3.98,Different_Object,Pair 3,5
6b,p66,F,3,8,3.266666667,R,Teddy,Ball,2,5,Laptop,27.28,Different_Object,Pair 3,6
7b,p71,M,3,23,3.766666667,L,Teddy,Ball,1,5,Laptop,6.85,Different_Object,Pair 3,5
8b,p68,F,3,20,3.666666667,R,Ball,Teddy,1,5,Laptop,7.18,Different_Object,Pair 3,5
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,Laptop,0.61,Different_Object,Pair 3,5
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,Laptop,7.63,Different_Object,Pair 3,5
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,Laptop,3.93,Different_Object,Pair 3,6
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,Laptop,,Different_Object,Pair 3,6
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,Laptop,3.06,Different_Object,Pair 3,6
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,Laptop,3.52,Different_Object,Pair 3,5
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,Laptop,0.64,Different_Object,Pair 3,5
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,Laptop,,Different_Object,Pair 3,6
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,Laptop,1.98,Different_Object,Pair 3,6
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,Laptop,26.98,Different_Object,Pair 3,6
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,Laptop,2.53,Different_Object,Pair 3,6
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,Laptop,3.29,Different_Object,Pair 3,5
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,Laptop,,Different_Object,Pair 3,6
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,Laptop,4.23,Different_Object,Pair 3,5
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,Laptop,0.45,Different_Object,Pair 3,5
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,Laptop,9,Different_Object,Pair 3,5
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,Laptop,,Different_Location,Pair 1,1
