"","subj","paper","MA_condition","ageday","exp_look","unexp_look","sex","experiment","condition","task","training_yesno","action_consequence","actor_hand","agent_efficient_fam","object_diff_size_huge","action_causal","location_object_goal_ambiguous","bothobjects_present_visible_fam","agent","PI_group","look_pref"
"1","1","luo2011","1_twoobject",103.32,13.1,60,"m","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",46.9
"2","2","luo2011","1_twoobject",86.88,18.4,60,"m","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",41.6
"3","3","luo2011","1_twoobject",105.32,15.1,46.3,"m","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",31.2
"4","4","luo2011","1_twoobject",129.76,7.1,13.6,"f","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",6.5
"5","5","luo2011","1_twoobject",107.32,5.8,12,"f","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",6.2
"6","6","luo2011","1_twoobject",79.88,9,60,"f","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",51
"7","7","luo2011","1_twoobject",129.76,18.9,8,"m","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",-10.9
"8","8","luo2011","1_twoobject",98.32,6,21,"m","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",15
"9","9","luo2011","1_twoobject",106.32,31,60,"m","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",29
"10","10","luo2011","1_twoobject",109.32,42.9,42.7,"f","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",-0.199999999999996
"11","11","luo2011","1_twoobject",83.88,23.6,7.2,"f","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",-16.4
"12","12","luo2011","1_twoobject",103.32,5.7,6.5,"f","1","1_twoobject","goals","no","none",NA,NA,"no","no","yes","yes","object","luo",0.8
"13","13","luo2011","1_oneobject",96.32,43.5,6.9,"m","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-36.6
"14","14","luo2011","1_oneobject",96.32,34.2,60,"m","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",25.8
"15","15","luo2011","1_oneobject",80.88,5.7,6.4,"m","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",0.7
"16","16","luo2011","1_oneobject",76.88,8.4,6.5,"f","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-1.9
"17","17","luo2011","1_oneobject",94.32,60,40.6,"f","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-19.4
"18","18","luo2011","1_oneobject",96.32,10.1,5.3,"f","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-4.8
"19","19","luo2011","1_oneobject",119.32,8.3,14.9,"m","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",6.6
"20","20","luo2011","1_oneobject",118.32,11.1,5.1,"m","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-6
"21","21","luo2011","1_oneobject",124.76,40.3,10.7,"m","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-29.6
"22","22","luo2011","1_oneobject",87.88,60,49.6,"f","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-10.4
"23","23","luo2011","1_oneobject",88.88,31.7,60,"f","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",28.3
"24","24","luo2011","1_oneobject",84.88,60,6.8,"f","1","1_oneobject","goals","no","none",NA,NA,"no","no","yes","no","object","luo",-53.2
"25","25","luo2011","2_differentpositions",85.88,11.1,60,"m","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",48.9
"26","26","luo2011","2_differentpositions",108.32,5.4,10.2,"m","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",4.8
"27","27","luo2011","2_differentpositions",118.32,14.2,25,"m","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",10.8
"28","28","luo2011","2_differentpositions",81.88,23.8,36.5,"f","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",12.7
"29","29","luo2011","2_differentpositions",89.88,16.2,60,"f","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",43.8
"30","30","luo2011","2_differentpositions",88.88,24.8,53.5,"f","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",28.7
"31","31","luo2011","2_differentpositions",87.88,20.2,52.9,"m","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",32.7
"32","32","luo2011","2_differentpositions",91.32,35.6,60,"m","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",24.4
"33","33","luo2011","2_differentpositions",88.88,20.2,8,"m","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",-12.2
"34","34","luo2011","2_differentpositions",98.32,26.7,9.5,"f","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",-17.2
"35","35","luo2011","2_differentpositions",92.32,40.7,30,"f","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",-10.7
"36","36","luo2011","2_differentpositions",84.88,46.2,60,"f","2","2_differentpositions","goals","no","none",NA,NA,"no","no","no","no","object","luo",13.8
"37","37","skerry2013","1_effectiveactiontraining",108,7.566667,8.833333,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.266666
"38","38","skerry2013","1_effectiveactiontraining",121,4.866667,8.8,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",3.933333
"39","39","skerry2013","1_effectiveactiontraining",105,6.233333,4.633333,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-1.6
"40","40","skerry2013","1_effectiveactiontraining",118,4.133333,4.2,"f","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",0.0666669999999998
"41","41","skerry2013","1_effectiveactiontraining",103,8.466667,11.166667,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.7
"42","42","skerry2013","1_effectiveactiontraining",111,12.9,15.8,"f","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.9
"43","43","skerry2013","1_effectiveactiontraining",107,7.5,6.566667,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.933333
"44","44","skerry2013","1_effectiveactiontraining",120,2.333333,2.233333,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.1
"45","45","skerry2013","1_effectiveactiontraining",103,21.133333,18.9,"f","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-2.233333
"46","46","skerry2013","1_effectiveactiontraining",93,4.533333,3.8,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.733333
"47","47","skerry2013","1_effectiveactiontraining",96,6.2,5.566667,"f","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.633333
"48","48","skerry2013","1_effectiveactiontraining",99,6.566667,15.3,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",8.733333
"49","49","skerry2013","1_effectiveactiontraining",112,32.466667,35.233333,"f","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.766666
"50","50","skerry2013","1_effectiveactiontraining",115,3.766667,5.633333,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.866666
"51","51","skerry2013","1_effectiveactiontraining",110,9.3,17.233333,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",7.933333
"52","52","skerry2013","1_effectiveactiontraining",111,8.566667,16.566667,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",8
"53","53","skerry2013","1_effectiveactiontraining",99,4.733333,7.233333,"f","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.5
"54","54","skerry2013","1_effectiveactiontraining",116,4.7,6.166667,"f","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.466667
"55","55","skerry2013","1_effectiveactiontraining",114,21.133333,16.333333,"m","1","1_effectiveactiontraining","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-4.8
