subj,paper,MA_condition,ageday,exp_look,unexp_look,sex
1,luo2011,1_twoobject,103.32,13.1,60,m
2,luo2011,1_twoobject,86.88,18.4,60,m
3,luo2011,1_twoobject,105.32,15.1,46.3,m
4,luo2011,1_twoobject,129.76,7.1,13.6,f
5,luo2011,1_twoobject,107.32,5.8,12,f
6,luo2011,1_twoobject,79.88,9,60,f
7,luo2011,1_twoobject,129.76,18.9,8,m
8,luo2011,1_twoobject,98.32,6,21,m
9,luo2011,1_twoobject,106.32,31,60,m
10,luo2011,1_twoobject,109.32,42.9,42.7,f
11,luo2011,1_twoobject,83.88,23.6,7.2,f
12,luo2011,1_twoobject,103.32,5.7,6.5,f
13,luo2011,1_oneobject,96.32,43.5,6.9,m
14,luo2011,1_oneobject,96.32,34.2,60,m
15,luo2011,1_oneobject,80.88,5.7,6.4,m
16,luo2011,1_oneobject,76.88,8.4,6.5,f
17,luo2011,1_oneobject,94.32,60,40.6,f
18,luo2011,1_oneobject,96.32,10.1,5.3,f
19,luo2011,1_oneobject,119.32,8.3,14.9,m
20,luo2011,1_oneobject,118.32,11.1,5.1,m
21,luo2011,1_oneobject,124.76,40.3,10.7,m
22,luo2011,1_oneobject,87.88,60,49.6,f
23,luo2011,1_oneobject,88.88,31.7,60,f
24,luo2011,1_oneobject,84.88,60,6.8,f
25,luo2011,2_differentpositions,85.88,11.1,60,m
26,luo2011,2_differentpositions,108.32,5.4,10.2,m
27,luo2011,2_differentpositions,118.32,14.2,25,m
28,luo2011,2_differentpositions,81.88,23.8,36.5,f
29,luo2011,2_differentpositions,89.88,16.2,60,f
30,luo2011,2_differentpositions,88.88,24.8,53.5,f
31,luo2011,2_differentpositions,87.88,20.2,52.9,m
32,luo2011,2_differentpositions,91.32,35.6,60,m
33,luo2011,2_differentpositions,88.88,20.2,8,m
34,luo2011,2_differentpositions,98.32,26.7,9.5,f
35,luo2011,2_differentpositions,92.32,40.7,30,f
36,luo2011,2_differentpositions,84.88,46.2,60,f
