study_ID,long_cite,short_cite,doi,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,trial_control,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SE_1,SE_2,SD_1,SD_2,t,F,r ,d,d_var,corr,source_of_data,source_data_comments,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_famtrials,num_testtrials,looking_task,training,training_yesno,agent,actor_hand,action_consequence,action_causal,bothobjects_present_visible_fam,object_diff_size_huge,location_object_goal_ambiguous,object_diff_size,object_diff_kind,object_diff_color,agent_efficient_fam,causalitytask_hab,causlitytask_test,displays,PI_group
choi_unpub,"Choi, Y.J. & Luo, Y. (unpublished). Three-month-old infants' understanding of a human agent's preference",Choi & Luo (unpublished),NA,no,Shari Liu,1,1_equidistant,1_equidistant,behavior,familiarization,CF,looking_time,within_two,,infant_all,typical,,,24,,108.56,,31.11,26.28,,,19.07,14.87,,,,,,0.7279,authors,"data provided by YouJung Choi, processed by Shari Liu",,,60.88,,9,,0.46,,6,4,goals,none,no,person,bare,none,no,yes,yes,yes,yes,yes,yes,NA,NA,NA,live,luo
choi_unpub,"Choi, Y.J. & Luo, Y. (unpublished). Three-month-old infants' understanding of a human agent's preference",Choi & Luo (unpublished),NA,no,Shari Liu,1,1_neartarget,1_neartarget,behavior,familiarization,CF,looking_time,within_two,,infant_all,typical,,,24,,98.52,,26.84,28.73,,,17.52,18.57,,,,,,0.6964,authors,"data provided by YouJung Choi, processed by Shari Liu",,,57.88,,6,,0.42,,6,4,goals,none,no,person,bare,none,no,yes,yes,yes,yes,yes,yes,NA,NA,NA,live,luo
choi_unpub,"Choi, Y.J. & Luo, Y. (unpublished). Three-month-old infants' understanding of a human agent's preference",Choi & Luo (unpublished),NA,no,Shari Liu,1,1_fartarget,1_fartarget,behavior,familiarization,CF,looking_time,within_two,,infant_all,typical,,,24,,96.79,,28.24,30.29,,,17.58,18.05,,,,,,0.5722,authors,"data provided by YouJung Choi, processed by Shari Liu",,,52.88,,12,,0.5,,6,4,goals,none,no,person,bare,none,no,yes,yes,yes,yes,yes,yes,NA,NA,NA,live,luo
choi2018,"Choi, Y. J., Mou, Y., & Luo, Y. (2018). How do 3-month-old infants attribute preferences to a human agent?. Journal of experimental child psychology, 172, 96-106.","Choi, Mou, & Luo (2018) ",10.1016/j.jecp.2018.03.004,yes,"Melyssa Almeida, Vanessa Kudrnova, Shari Liu",1,1_oneobject,1_oneobject,behavior,familiarization,CF,looking_time,within_two,,infant_all,typical,,,16,,100.8,,19.02,18.82,,,11.68,11.03,,0,,0.016,,0.3445,authors,"means, SDs, and corr, as well as condition-specific age ranges and means, came from data sent by authors - the rest came from the paper",,https://osf.io/q2u5e/,51.88,,5.33,,0.5,,6,4,goals,none,no,person,bare,none,no,no,yes,yes,yes,yes,yes,NA,NA,NA,live,luo
choi2018,"Choi, Y. J., Mou, Y., & Luo, Y. (2018). How do 3-month-old infants attribute preferences to a human agent?. Journal of experimental child psychology, 172, 96-106.","Choi, Mou, & Luo (2018) ",10.1016/j.jecp.2018.03.004,yes,"Melyssa Almeida, Vanessa Kudrnova, Shari Liu",1,1_twoobject,1_twoobject,behavior,familiarization,CF,looking_time,within_two,,infant_all,typical,,,16,,102.21,,32.24,25.86,,,22.7,19.88,,4.32,,0.527,,0.836,authors,"means, SDs, and corr, as well as condition-specific age ranges and means, came from data sent by authors - the rest came from the paper",,https://osf.io/q2u5e/,52.88,,5.33,,0.5,,6,4,goals,none,no,person,bare,none,no,yes,yes,yes,yes,yes,yes,NA,NA,NA,live,luo
choi2018,"Choi, Y. J., Mou, Y., & Luo, Y. (2018). How do 3-month-old infants attribute preferences to a human agent?. Journal of experimental child psychology, 172, 96-106.","Choi, Mou, & Luo (2018) ",10.1016/j.jecp.2018.03.004,yes,"Melyssa Almeida, Vanessa Kudrnova, Shari Liu",1,1_hidden,1_hidden,behavior,familiarization,CF,looking_time,within_two,,infant_all,typical,,,16,,99.06,,22.68,25.71,,,14.34,17.71,,0.98,,-0.237,,0.6789,authors,"means, SDs, and corr, as well as condition-specific age ranges and means, came from data sent by authors - the rest came from the paper",,https://osf.io/q2u5e/,45.88,,5.33,,0.5625,,6,4,goals,none,no,person,bare,none,no,yes,yes,yes,yes,yes,yes,NA,NA,NA,live,luo
gerson2014a,"Gerson, S. A., & Woodward, A. L. (2014a). The joint role of trained, untrained, and observed actions at the origins of goal recognition. Infant Behavior and Development, 37(1), 94-104.",Gerson & Woodward (2014a),10.1016/j.infbeh.2013.12.013,yes,"Manasa Ganesh, Melyssa Almeida, Shari Liu",1,1_Active,1_active,behavior,habituation,CF,looking_time,within_two,,infant_all,typical,,,24,,105.6,,12.699,9.988,3.09,2.59,15.081,12.618,,,,0.46,,0.7717,authors,"Means and SEM originally found in the figure, eventually updated using dataset provided by authors. Cohen's d came from paper, analysis of estimated marginal means. age_range and corr came from dataset from authors.",,https://osf.io/kvyp8/,30.44,,23,,0.583333333,,NA,6,goals,sticky,yes,hand,mittened,none,no,yes,no,yes,yes,yes,yes,NA,NA,NA,live,woodward
gerson2014a,"Gerson, S. A., & Woodward, A. L. (2014a). The joint role of trained, untrained, and observed actions at the origins of goal recognition. Infant Behavior and Development, 37(1), 94-104.",Gerson & Woodward (2014a),10.1016/j.infbeh.2013.12.013,yes,"Manasa Ganesh, Melyssa Almeida, Shari Liu",1,1_Observation,1_observation,behavior,habituation,CF,looking_time,within_two,,infant_all,typical,,,24,,106.5,,7.63,8.729,1.75,1.84,8.442,8.925,,,,0.23,,0.389,authors,"Means and SEM originally found in the figure, eventually updated using dataset provided by authors. Cohen's d came from paper, analysis of estimated marginal means. age_range and corr came from dataset from authors.",,https://osf.io/kvyp8/,3.044,,22,,0.5416,,NA,6,goals,observation,no,hand,mittened,none,no,yes,no,yes,yes,yes,yes,NA,NA,NA,live,woodward
gerson2014a,"Gerson, S. A., & Woodward, A. L. (2014a). The joint role of trained, untrained, and observed actions at the origins of goal recognition. Infant Behavior and Development, 37(1), 94-104.",Gerson & Woodward (2014a),10.1016/j.infbeh.2013.12.013,yes,"Manasa Ganesh, Melyssa Almeida, Shari Liu",1,1_Control,1_control,behavior,habituation,CF,looking_time,within_two,,infant_all,typical,,,24,,104.8,,8.003,10.489,1.51,2.17,7.425,10.627,,,,0.2,,0.7098,authors,"Means and SEM originally found in the figure, eventually updated using dataset provided by authors. Cohen's d came from paper, analysis of estimated marginal means. age_range and corr came from dataset from authors.",,https://osf.io/kvyp8/,29.53,,20,,0.5,,NA,6,goals,none,no,hand,mittened,none,no,yes,no,yes,yes,yes,yes,NA,NA,NA,live,woodward
gerson2014b,"Gerson, S. A., & Woodward, A. L. (2014b). Learning from their own actions: the unique effect of producing actions on infants’ action understanding. Child Development, 85(1), 264–277.",Gerson & Woodward (2014b),10.1111/cdev.12115,yes,"Manasa Ganesh, Melyssa Almeida, Shari Liu",1,1_Active,1_active,behavior,habituation,CF,looking_time,within_two,,infant_all,typical,,,30,,107.5,,9.435,6.152,1.68,0.86,9.146,4.575,,,,,,0.3584,authors,"Means and SEM originally found in the figure, eventually updated using dataset provided by authors. Cohen's d came from paper, only reported in study 2. age_range and corr came from dataset from authors.",,https://osf.io/52qtv/,34.4,,14,,0.5,,NA,6,goals,sticky,yes,hand,mittened,none,no,yes,no,yes,yes,yes,yes,NA,NA,NA,live,woodward
