Script,Subject ID,Sex,Age - Month,Age - Day,Age Decimal,Preferred Location (L/R),Test PL Object,PL Starting Object,PL Test Order,Video Quality,Habituation 1,Habituation 2,Habituation 3,Habituation 4,Habituation 5,Habituation 6,Habituation 7,Habituation 8,Habituation 9,Habituation 10,Habituation 11,Habituation 12,Habituation 13,Habituation 14,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Device
1b,p69,M,2,30,3,L,Teddy,Ball,2,5,10.59,13.33,10.35,15.48,6.13,3.08,9.33,12.95,0.57,10.49,2.95,,,,,7.86,6.17,4.8,,,Laptop
2b,p67,M,3,25,3.833333333,R,Teddy,Ball,1,3,7.37,19.16,55.5,4.39,8.18,21.83,9.46,4.7,4.45,6.84,,,,,7.88,24.26,5.11,9.67,2.53,24.47,Laptop
3b,p70,M,3,2,3.066666667,R,Ball,Teddy,2,5,22.82,18.45,10.47,23.83,12.63,7.52,7.31,5.67,,,,,,,21.66,4.66,58.48,31.41,22.39,4.05,Tablet
4b,p72,M,3,1,3.033333333,L,Ball,Teddy,2,5,9.06,38.23,7.65,7.65,16.55,15.09,0.74,3.49,,,,,,,14.26,24.57,10.97,13.49,12.46,,Laptop
5b,p73,F,3,29,3.966666667,L,Ball,Teddy,1,5,15.53,19.35,11.5,7.46,10.78,10.5,8.68,10.08,6.79,7.38,6.96,,,,3.91,4.65,3.97,,3.98,4.55,Laptop
6b,p66,F,3,8,3.266666667,R,Teddy,Ball,2,5,52.37,95.08,34.91,36.92,97.48,43.58,1.67,39.29,,,,,,,9.51,3.66,39.26,17.85,5.21,27.28,Laptop
7b,p71,M,3,23,3.766666667,L,Teddy,Ball,1,5,26.37,6.77,9.2,6.02,17.84,18.4,13.68,14.99,10.97,11.21,5.46,8.68,6.88,,23.71,68.74,15.56,47.86,6.85,13.76,Laptop
8b,p68,F,3,20,3.666666667,R,Ball,Teddy,1,5,26.84,15.7,11.39,5.36,9.98,13.28,5.22,6.56,,,,,,,14.33,6.67,8.82,10.49,7.18,,Laptop
1c,p74,M,3,1,3.033333333,R,Teddy,Ball,1,5,5.88,40.29,61.67,25.52,24.05,10.9,9.43,,,,,,,,5.43,20.86,5.82,28.23,0.61,27,Laptop
2c,p77,M,3,15,3.5,R,Ball,Teddy,1,5,55.04,19.54,38.39,9.58,7.52,6.65,,,,,,,,,5.87,24.55,3.25,9.79,7.63,9.33,Laptop
3c,p79,M,3,30,4,L,Ball,Teddy,2,5,60.45,49.09,11.21,8.9,26.22,1.75,,,,,,,,,23.5,3.68,19.48,13,5.64,3.93,Laptop
4c,p81,M,3,1,3.033333333,L,Teddy,Ball,2,5,30.13,37.06,5.28,3.56,18.95,10.15,,,,,,,,,45.7,16.82,14.37,,5.38,,Laptop
5c,p75,F,3,3,3.1,R,Ball,Teddy,2,5,33.09,13.17,4,4.41,6.78,5.62,,,,,,,,,2.07,1.08,1.27,4.08,3.94,3.06,Laptop
6c,p76,F,3,12,3.4,L,Teddy,Ball,1,5,18.21,12.35,42.91,23.88,12.02,12.13,44.66,10.23,25.67,10.57,4.88,4.48,,,1.47,11.12,6.76,13.83,3.52,17.76,Laptop
7c,p78,M,3,30,4,L,Ball,Teddy,1,5,19.66,7.31,8.01,5.17,0.23,5.15,4.09,,,,,,,,4.62,1.48,3.63,0.87,0.64,1.27,Laptop
8c,p80,F,3,24,3.8,R,Teddy,Ball,2,5,8.86,9.85,5.86,0.64,5.56,1.62,,,,,,,,,1.78,3.04,6.91,6.44,3.86,,Laptop
1d,p85,F,3,0,3,R,Ball,Teddy,2,5,22.81,2.56,4.2,4.5,7.48,4.65,5.56,5,1.6,,,,,,5.11,4.81,7.28,2.6,4.17,1.98,Laptop
2d,p86,F,3,0,3,L,Teddy,Ball,2,5,77.83,1.7,27.39,66.39,12.88,6.11,13.51,,,,,,,,7.65,8.88,3.79,15.6,7.69,26.98,Laptop
3d,p84,F,3,29,3.966666667,R,Teddy,Ball,2,5,21.45,21.29,18.84,54.35,18.2,12.13,17.08,7.36,5.33,,,,,,4.85,5.64,3.68,9.12,10.77,2.53,Laptop
4d,p88,F,3,30,4,L,Ball,Teddy,1,5,4.49,4.93,1.34,5.74,0.84,2.69,1.69,,,,,,,,3.75,7.47,2.31,5.49,3.29,11.57,Laptop
5d,p83,F,3,28,3.933333333,L,Ball,Teddy,2,5,11.62,18.64,33.28,21.31,6.95,53.22,23.97,5.33,3.23,7.36,,,,,4.27,5.87,4.86,3.18,7.37,,Laptop
6d,p87,M,3,11,3.366666667,R,Ball,Teddy,1,5,8.15,3.75,4.8,4.85,5.92,1.68,6.13,1.96,0.6,3.8,,,,,6.47,18.45,4.31,10.29,4.23,25.59,Laptop
7d,p89,M,3,30,4,L,Teddy,Ball,1,5,2.6,2.68,8.93,9.94,3.03,4.2,2.01,0.24,,,,,,,8.85,4.57,1.13,2.97,0.45,1.44,Laptop
8d,p82,M,3,3,3.1,R,Teddy,Ball,1,5,7.32,1.15,11.92,15.49,51.79,48.02,3.09,2.89,5.88,2.37,2.11,0.31,,,1.01,3.71,4.45,13.16,9,8.22,Laptop
